naklad_szt;objetosc_m3;konstrukcja_kg;sklejka_m3;drewno_m3;plyta_m2;druk_m2;led_mb;tworzywa_m2;koszty_pozostale;rodzaj_tworzywa;rodzaj_displaya;stopien_skomplikowania;cena
13;0,014;0,00;0,000;0,000;0,00;0,18;1,50;0,23;0,00;PMMA ;ekspozytor_tworzywowy;1;179,81
200;0,115;4,84;0,000;0,000;0,00;0,08;0,00;0,08;0,00;PET ;potykacz;1;186,71
25;0,400;32,00;0,000;0,000;0,00;0,47;15,00;36,00;325,90;PMMA;regal;5;3643,91
10;0,270;3,80;0,000;0,000;0,00;0,90;0,00;0,90;0,00;HIPS;regal;3;867,46
50;0,420;21,50;0,800;0,000;0,00;0,12;0,00;0,00;0,00;;wyspa;4;657,13
50;0,150;0,00;0,000;0,000;0,00;0,00;0,00;0,25;0,00;PET;ekspozytor_tworzywowy;2;120,44
20;0,400;12,50;0,000;0,010;1,17;0,66;0,00;0,00;0,00;;regal;5;1394,45
150;0,018;2,50;0,000;0,000;0,00;0,00;0,00;0,04;0,00;PET ;pozostale;1;97,21
70;0,007;0,80;0,000;0,000;0,00;0,30;1,70;0,30;0,00;PMMA ;kaseton;3;322,94
30;0,005;0,00;0,000;0,000;0,00;0,72;4,00;1,08;0,00;PMMA ;kaseton;3;545,91
20;0,001;0,00;0,000;0,000;0,00;0,20;0,00;0,20;0,00;PET ;ekspozytor_tworzywowy;2;166,02
10;3,656;65,50;0,000;0,000;0,00;6,80;13,15;5,34;0,00;PMMA ;wyspa;5;5586,55
20;0,344;5,30;0,250;0,000;0,00;0,02;0,00;0,00;0,00;;pozostale;2;522,12
300;0,001;0,00;0,000;0,000;0,00;0,23;0,00;0,24;0,00;HIPS;ekspozytor_tworzywowy;2;26,82
4250;0,002;0,25;0,000;0,000;0,00;0,01;0,00;0,10;0,00;PMMA;naladowy;1;30,34
50;0,860;11,32;0,000;0,000;0,04;1,63;0,00;0,00;0,00;;regal;3;1078,25
100;0,003;1,44;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;100,89
20;0,219;17,00;0,000;0,000;0,00;0,00;0,00;0,41;0,00;PMMA ;potykacz;2;614,80
200;0,027;0,08;0,547;0,000;0,00;0,25;0,00;0,04;0,00;HIPS;regal;2;240,75
77;0,014;0,00;0,000;0,000;0,00;0,18;0,00;0,20;0,00;PMMA ;pozostale;1;92,44
100;0,005;0,00;0,000;0,000;0,00;0,40;4,00;1,20;0,00;PMMA;kaseton;1;489,29
1;0,011;0,32;0,050;0,001;0,00;0,07;0,00;0,00;0,00;;naladowy;1;2211,96
30;0,250;18,00;0,000;0,000;0,00;0,90;0,00;0,00;0,00;;regal;2;811,51
150;0,001;0,00;0,000;0,000;0,00;0,00;0,00;0,11;0,00;GUMA;pozostale;1;76,04
1;0,014;0,00;0,000;0,000;0,00;0,18;0,40;0,23;0,00;PMMA ;ekspozytor_tworzywowy;1;1202,99
5;0,080;0,25;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;264,00
5;0,080;0,25;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;93,06
10;0,080;0,25;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;48,92
3;1,000;13,50;0,000;0,000;3,50;0,10;3,75;0,00;225,00;;wyspa;4;3054,00
20;0,800;96,50;0,000;0,000;0,00;0,30;1,30;0,66;41,35;PMMA ;pozostale;5;4207,96
60;0,299;20,00;0,000;0,000;0,00;1,25;0,00;0,14;0,00;PET;regal;3;810,81
60;0,426;24,00;0,000;0,000;0,00;1,28;0,00;0,21;0,00;PET;regal;3;917,28
10;0,050;1,00;0,001;0,000;0,00;0,02;0,00;0,00;0,00;;naladowy;2;328,57
198;0,299;20,00;0,000;0,000;0,00;1,25;0,00;0,14;0,00;PET ;regal;3;641,09
99;0,426;24,00;0,000;0,000;0,00;1,28;0,00;0,21;0,00;PET ;regal;3;875,95
100;0,027;0,00;0,012;0,000;0,00;0,09;0,00;0,10;0,00;HIPS;naladowy;2;228,58
50;0,009;0,20;0,000;0,006;0,00;0,00;0,00;0,00;0,00;;naladowy;3;357,55
100;0,004;0,91;0,000;0,000;0,00;0,07;0,00;0,07;0,00;PMMA;naladowy;2;121,66
1300;0,007;0,00;0,000;0,000;0,00;0,01;0,00;0,91;0,00;"PMMA
PMMA ";naladowy;2;34,98
100;0,065;1,95;0,005;0,000;0,00;0,15;0,00;0,15;0,00;HIPS ;paleciak;3;201,38
110;0,002;0,05;0,000;0,000;0,00;0,00;0,00;0,01;0,00;HIPS ;ekspozytor_tworzywowy;2;59,72
30;0,012;2,00;0,000;0,000;0,00;0,16;1,60;0,30;48,62;PMMA;naladowy;4;439,78
150;0,043;0,00;0,000;0,010;0,00;0,76;0,00;1,32;0,00;ABS ;potykacz;2;352,28
15;0,030;0,00;0,000;0,007;0,00;0,00;0,60;0,01;29,20;PMMA;naladowy;3;623,06
15;0,030;0,00;0,000;0,007;0,00;0,00;0,60;0,01;29,20;PMMA ;naladowy;3;629,30
460;0,252;19,00;0,000;0,000;0,00;1,11;0,00;0,14;0,00;PET;regal;3;669,77
500;0,435;21,50;0,086;0,000;0,00;2,57;0,00;0,17;0,00;PET ;regal;3;727,31
400;0,297;17,00;0,065;0,000;0,00;1,81;0,00;0,13;0,00;PET ;regal;3;649,92
250;0,008;0,85;0,000;0,000;0,00;0,15;0,90;0,08;0,00;PMMA ;naladowy;3;238,45
100;0,374;24,00;0,000;0,000;0,00;0,00;0,00;0,21;0,00;PET ;regal;3;562,23
1;0,025;4,62;0,000;0,000;0,00;0,00;0,00;0,18;0,00;PMMA ;naladowy;2;1713,20
4;0,407;5,14;0,000;0,016;0,00;0,20;0,00;0,00;0,00;;pozostale;2;1245,27
1;1,460;0,00;0,000;0,000;3,50;1,40;2,00;0,15;0,00;PMMA ;pozostale;2;1684,14
1;0,017;3,03;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;1;329,86
1;0,002;0,00;0,000;0,000;0,00;2,10;0,00;2,10;0,00;TKANINA;pozostale;1;323,10
50;0,300;21,50;0,000;0,000;0,00;1,12;0,00;0,96;0,00;HIPS ;regal;3;939,44
100;0,005;0,00;0,000;0,000;0,00;0,40;4,00;1,20;0,00;PMMA ;kaseton;1;439,38
1;0,001;0,00;0,000;0,000;0,00;0,00;0,00;0,11;0,00;GUMA;pozostale;1;2204,60
3;0,002;0,00;0,050;0,000;0,00;0,10;0,00;0,00;0,00;;pozostale;1;254,79
150;0,220;2,20;0,000;0,000;3,00;1,20;0,00;0,20;0,00;HIPS;regal;3;492,31
1;0,019;0,00;0,000;0,000;0,00;0,25;0,00;0,25;0,00;PMMA;ekspozytor_tworzywowy;1;714,38
1;0,014;0,00;0,000;0,000;0,00;0,19;0,00;0,19;0,00;PMMA;ekspozytor_tworzywowy;1;691,35
1;0,010;3,70;0,000;0,000;0,00;0,12;2,68;0,24;0,00;PMMA;pozostale;3;2085,68
650;0,004;0,00;0,000;0,000;0,00;0,07;0,00;0,08;0,00;PMMA;naladowy;1;32,10
75;0,030;0,15;0,000;0,000;0,00;0,00;0,00;1,10;73,25;HIPS;naladowy;3;405,08
200;0,001;0,00;0,000;0,001;0,00;0,00;0,00;0,00;0,00;;naladowy;2;55,08
300;0,003;0,20;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;3;33,08
50;0,864;70,00;0,135;0,000;0,00;0,66;8,20;0,40;174,50;PMMA;regal;5;3193,33
30;0,009;0,95;0,001;0,000;0,00;0,15;0,30;0,09;0,00;PMMA;naladowy;3;449,08
30;0,413;17,00;2,326;0,000;0,00;1,06;0,00;0,00;0,00;;regal;3;1273,22
150;0,019;2,75;0,000;0,000;0,00;0,00;0,00;0,04;0,00;PET ;pozostale;1;40,79
48;0,033;0,00;0,003;0,005;0,16;0,33;0,00;0,16;0,00;PET ;naladowy;3;917,32
100;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;843,90
